#
#  ecol316435-wgscyc 21.5 Reactions link table generated on Tue Oct 24, 2017
#
RXN0-2161	EC-6.1.1.11
RXN-12399	EC-3.2.1.23
3.1.2.14-RXN	EC-3.1.2.14
RXN-11481	EC-4.2.1.59
RXN-9554	EC-1.3.1
ARGININE-DEIMINASE-RXN	EC-3.5.3.6
RXN-11347	EC-2.7.8.13
METHYLENETHFDEHYDROG-NADP-RXN	EC-1.5.1.5
RIBONUCLEOSIDE-DIP-REDUCTII-RXN	EC-1.17.4.1
RXN0-6525	EC-3.1.13.1
RXN0-17	
OCTAPRENYL-METHYL-METHOXY-BENZOQ-OH-RXN	EC-1.14
RXN0-5183	EC-3.2.1.20
CYTIDINEKIN-RXN	EC-2.7.1.48
RXN1G-1439	EC-3.1.3.12
RXN-10	EC-6.3.4.5
URACIL-PRIBOSYLTRANS-RXN	EC-2.4.2.9
ACETYLGLUTKIN-RXN	EC-2.7.2.8
RXN0-6254	EC-2.7.7.76
XMPXAN-RXN	EC-3.1.3.5
RXN-13008	EC-2.3.1.86
DIHYDRODIPICSYN-RXN	EC-4.3.3.7
RXN-11368	EC-2.5.1.39
RXN-9660	EC-1.3.1.9
SUCCINYLDIAMINOPIMTRANS-RXN	EC-2.6.1.17
HYDROXYLAMINE-REDUCTASE-RXN	EC-1.7.99.1
RXN-7567	EC-4.2.1.84
ENOYL-ACP-REDUCT-NADPH-RXN	EC-2.3.1.86	EC-2.3.1.85	EC-1.3.1.10
RXN-9540	EC-2.3.1.86	EC-2.3.1.85	EC-1.1.1.100
NADPYROPHOSPHAT-RXN	EC-3.6.1.22
RXN-9514	EC-2.3.1.86	EC-2.3.1.85	EC-1.1.1.100
RXN-12626	EC-3.2.1.52
R262-RXN	EC-1.1.1
UROPORIIIMETHYLTRANSA-RXN	
CARBODEHYDRAT-RXN	EC-4.2.1.1
ALCOHOL-DEHYDROG-GENERIC-RXN	EC-1.1.1.1
MALIC-NAD-RXN	EC-1.1.1.38
3.1.26.11-RXN	EC-3.1.26.11
GCVP-RXN	EC-1.4.4.2
RXN-7933	EC-3.5.1.16
RXN-13909	EC-1.5.1.34
RXN-5284	
PYRIMSYN3-RXN	EC-2.7.4.7
GLYCOPHOSPHORYL-RXN	EC-2.4.1.1
RXN0-2361	EC-6.3.2
RXN0-5190	EC-3.2.1
DURIDKI-RXN	EC-2.7.1.145	EC-2.7.1.21
RXN-9939	EC-2.3.1.57
3.6.3.19-RXN	EC-3.6.3.19
RXN0-6994	EC-3.2.1.86
3.1.21.3-RXN	EC-3.1.21.3
RXN-5822	EC-3.1.3
3.4.13.21-RXN	EC-3.4.13.21
RXN0-6259	EC-1.3.5.3
RXN-9557	EC-4.2.1.59
RXN-11472	
RXN-12565	EC-2.3.1.16
5-FORMYL-THF-CYCLO-LIGASE-RXN	EC-6.3.3.2
ARGININE-N-SUCCINYLTRANSFERASE-RXN	EC-2.3.1.109
RXN-9657	EC-1.3.1.9
2.7.7.61-RXN	EC-2.7.7.61
RXN-13142	EC-5.1.99.6
RXN0-5263	
GLURS-RXN	EC-6.1.1.17
RXN-10017	
RXN-15815	
RXN-8641	EC-1.1.1.77
RXN-12392	EC-2.4.1.1
RXN-9654	EC-2.3.1.86
DHBDEHYD-RXN	EC-1.3.1.28
RXN-12444	EC-1.5.1.38
RXN-10767	EC-3.1.1.1
RXN-12735	EC-4.1.3
RXN-7700	EC-1.1.1.1
RXN-7913	EC-2.7.4.25	EC-2.7.4.14	EC-2.7.4.13
RXN0-5298	EC-5.1.3
GLY3KIN-RXN	EC-2.7.1.31
RXN1G-324	EC-2.3.1.41
IPPISOM-RXN	EC-5.3.3.2
PYRUVDEH-RXN	EC-1.2.1
NAD-SYNTH-NH3-RXN	EC-6.3.1.5
CARBOXYMETHYLENEBUTENOLIDASE-RXN	EC-3.1.1.45
RXN-7101	
1.1.1.176-RXN	EC-1.1.1.176
RXN-10639	
PDXJ-RXN	EC-2.6.99.2
ARYLSULFAT-RXN	EC-3.1.6.1
3PGAREARR-RXN	EC-5.4.2.1
