#
#  ecol316435-wgscyc 21.5 Pathways link table generated on Tue Oct 24, 2017
#
PWY-6961	L-ascorbate degradation II (bacterial, aerobic)	
PWY-6892	thiazole biosynthesis I (E. coli)	(<i>R,Z</i>)-2-(2-carboxy-4-methylthiazol-5(2<i>H</i>)-ylidene)ethyl phosphate biosynthesis
PWY0-662	PRPP biosynthesis I	5-phosphoribosyl 1-pyrophosphate biosynthesis
GLUCUROCAT-PWY	superpathway of &beta;-D-glucuronide and D-glucuronate degradation	D-glucuronate catabolism	D-glucuronate degradation	glucuronic acid degradation	glucuronate degradation	&beta;-D-glucuronide degradation
PWY0-1305	glutamate dependent acid resistance	
PWY-1622	formaldehyde assimilation I (serine pathway)	
PWY-5352	thiosulfate disproportionation II (non thiol-dependent)	
PWY-6535	4-aminobutyrate degradation I	&gamma;-amino-butyrate shunt	GABA degradation
P21-PWY	pentose phosphate pathway (partial)	pentose phosphate pathway, Mycoplasma pneumonia
PWY-7197	pyrimidine deoxyribonucleotide phosphorylation	
PWY-7054	<i>N</i>-acetylglutaminylglutamine amide biosynthesis	
HEMESYN2-PWY	heme biosynthesis from uroporphyrinogen-III II	
PWY-5851	demethylmenaquinol-9 biosynthesis	demethylmenaquinone-9 biosynthesis
SALVPURINE2-PWY	xanthine and xanthosine salvage	
GLYSYN-THR-PWY	glycine biosynthesis IV	
PWY-7509	cardiolipin and phosphatidylethanolamine biosynthesis (<i>Xanthomonas</i>)	
GLUCARDEG-PWY	<i>D</i>-glucarate degradation I	<i>D</i>-glucarate catabolism
DETOX1-PWY-1	reactive oxygen species degradation (mammalian)	removal of superoxide radicals
GLUTSYNIII-PWY	glutamate biosynthesis III	
PWY-7411	superpathway phosphatidate biosynthesis (yeast)	
PWY0-1021	alanine biosynthesis III	
HOMOSERSYN-PWY	homoserine biosynthesis	
PWY-7560	methylerythritol phosphate pathway II	nonmevalonate isopentenyl diphosphate biosynthesis	methylerythritol phosphate degradation	MEP degradation	deoxyxylulose phosphate pathway	DOXP pathway	Rohmer pathway	isopentenyl diphosphate biosynthesis -- mevalonate-independent	nonmevalonate isoprenoid pathway	MEP pathway
